Name,Size at Posting,Created,Type,Total_Engagement,Likes,Comments,Views,URL,Link,picture,Description
teamusa,715135,7/17/2017 19:37,photo,9467,9438,29,0,https://www.instagram.com/p/BWqpchRl-WB/,https://www.instagram.com/p/BWqpchRl-WB/,https://scontent.cdninstagram.com/t51.2885-15/e35/c44.0.375.375/20184360_405981833131847_3034155594442342400_n.jpg,Congratulations to @meryledavis and Fedor Andreev on their engagement! ????
teamusa,715135,7/17/2017 11:58,photo,6198,6190,8,0,https://www.instagram.com/p/BWp08pRFg-4/,https://www.instagram.com/p/BWp08pRFg-4/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19985814_1484712844929685_2524696731388477440_n.jpg,THIS FEBRUARY: the #WinterOlympics are coming... #TeamUSA athletes will battle to claim their seat on the throne
teamusa,715645,7/16/2017 16:24,photo,8138,8096,42,0,https://www.instagram.com/p/BWnupvSFrnz/,https://www.instagram.com/p/BWnupvSFrnz/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/20180963_106610183334773_1887350642956042240_n.jpg,Our #NextOlympicHopeful athletes took on the Manitou Incline today: nearly a mile up at a 50 degree grade! It's a staple training mechanism for athletes training at the Olympic Training Center.
teamusa,715645,7/16/2017 13:39,photo,5639,5638,1,0,https://www.instagram.com/p/BWnbrBRlS7x/,https://www.instagram.com/p/BWnbrBRlS7x/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c80.0.919.919/20066123_110026922983802_2273974373352210432_n.jpg,"Lookin' good @johndalyusa, @lauryncwilliams & @carlinisles! #NextOlympicHopeful ????"
teamusa,715552,7/15/2017 19:49,photo,4061,4052,9,0,https://www.instagram.com/p/BWlhS3dFarL/,https://www.instagram.com/p/BWlhS3dFarL/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c208.0.664.664/20180899_123517234924406_4511649242191757312_n.jpg,@carolynmanno chats with @gabigrl after her squat test at the #NextOlympicHopeful Scouting Camp!
teamusa,715552,7/15/2017 13:54,photo,5415,5410,5,0,https://www.instagram.com/p/BWk4rZTlydg/,https://www.instagram.com/p/BWk4rZTlydg/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/19985959_169153193626766_6648339903664881664_n.jpg,Olympian @johndalyusa giving Brian Riley some pointers for today's #NextOlympicHopeful training!
teamusa,715552,7/15/2017 12:12,photo,3625,3624,1,0,https://www.instagram.com/p/BWks941FGAJ/,https://www.instagram.com/p/BWks941FGAJ/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/20065843_1860517664267369_4193053975538302976_n.jpg,Our hosts @carolynmanno and @dainblanton are ready to find the #NextOlympicHopeful! It's the last day of training at the OTC!
teamusa,715552,7/15/2017 11:36,photo,11072,11053,19,0,https://www.instagram.com/p/BWko2ZOFwWj/,https://www.instagram.com/p/BWko2ZOFwWj/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19986095_152376811979873_4978205479357382656_n.jpg,"""I think there will be other opportunities. I do."" - Wimbledon runner-up, the transcendent, ageless champ: @venuswilliams."
teamusa,715254,7/14/2017 16:46,photo,5243,5238,5,0,https://www.instagram.com/p/BWinj_GlNiT/,https://www.instagram.com/p/BWinj_GlNiT/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/19955107_210101759519435_6602354981611765760_n.jpg,Behind-the-scenes on day 2?? of #NextOlympicHopeful training with host @dainblanton and athlete mentor @carlinisles! ????
teamusa,715254,7/14/2017 10:33,video,6189,5996,193,21205,https://www.instagram.com/p/BWh8yfPlEcx/,https://www.instagram.com/p/BWh8yfPlEcx/,https://scontent.cdninstagram.com/t51.2885-15/e15/c236.0.607.607/19985319_119233362030324_2435538815255838720_n.jpg,#TeamUSA is proud to announce LEGENDS by @sleepingwithsirens as our OFFICIAL song on the road to the 2018 #WinterOlympics!
teamusa,714372,7/13/2017 19:20,photo,6828,6816,12,0,https://www.instagram.com/p/BWgUZUMFUUK/,https://www.instagram.com/p/BWgUZUMFUUK/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c145.0.790.790/19955332_1450681761686832_3225093652690763776_n.jpg,Train like an Olympian in #TeamUSA'a performance gear! ???????(link in bio)
teamusa,714372,7/13/2017 17:13,photo,5781,5774,7,0,https://www.instagram.com/p/BWgF0XJlecX/,https://www.instagram.com/p/BWgF0XJlecX/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/19985697_121657755118186_146053240528568320_n.jpg,The first @usacycling challenge: the watt bike power test! #NextOlympicHopeful
teamusa,714372,7/12/2017 23:53,photo,31157,31113,44,0,https://www.instagram.com/p/BWeOxZEF-Sw/,https://www.instagram.com/p/BWeOxZEF-Sw/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20065382_117173298816804_7245470151720566784_n.jpg,Congratulations to @simonebiles on Best Female Athlete honors! #ESPYS
