Name,Size at Posting,Created,Type,Likes,Retweets,total,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2
U.S. Olympic Team,1870897,2017-07-18 21:46:02 EDT,link,116,30,146,https://twitter.com/TeamUSA/status/887488670512455680,#TeamUSA made history today at #London2017 with TWO record breaking performances! ?? http://go.teamusa.org/2uxsZm7 https://t.co/DU2bBh0DUY,TeamUSA,https://t.co/DU2bBh0DUY,https://twitter.com/TeamUSA/status/887488670512455680/photo/1,http://go.teamusa.org/2uxsZm7,http://www.teamusa.org/News/2017/July/18/Breanna-Clark-Isaac-Jean-Paul-Shatter-World-Records-At-World-Para-Athletics-Championships
U.S. Olympic Team,1870897,2017-07-18 18:15:29 EDT,link,37,7,44,https://twitter.com/TeamUSA/status/887435682813276160,Got any questions for @allysonfelix?! ?? Now's you chance to ask her the hard-hitting questions! ???? https://twitter.com/allysonfelix/status/887427471053905920,TeamUSA,https://twitter.com/allysonfelix/status/887427471053905920,https://twitter.com/allysonfelix/status/887427471053905920,,
U.S. Olympic Team,1870897,2017-07-18 17:25:25 EDT,link,142,14,156,https://twitter.com/TeamUSA/status/887423083086307328,Good luck! We'll be rooting for you! ?? https://twitter.com/jessicaparratto/status/887415257509093376,TeamUSA,https://twitter.com/jessicaparratto/status/887415257509093376,https://twitter.com/jessicaparratto/status/887415257509093376,,
U.S. Olympic Team,1870897,2017-07-18 16:15:01 EDT,link,43,8,51,https://twitter.com/TeamUSA/status/887405368048984064,A late surge sent @j_wilimovsky from 49th to 10K SILVER at #FINAWorlds! ?????? #FINABudapest2017 ?? http://go.teamusa.org/2tcsaeu https://t.co/9JQynlXN0i,TeamUSA,https://t.co/9JQynlXN0i,https://twitter.com/TeamUSA/status/887405368048984064/photo/1,http://go.teamusa.org/2tcsaeu,http://www.teamusa.org/News/2017/July/18/Late-Surge-Sends-Jordan-Wilimovsky-From-49th-To-10K-Silver-Medal-At-World-Championships
U.S. Olympic Team,1870897,2017-07-18 15:45:02 EDT,link,61,17,78,https://twitter.com/TeamUSA/status/887397820054904832,"After a major win against Japan, @USAFieldHockey secured their spot in the #HWL2017 semifinals AND 2018 Worlds! ?? ?? http://go.teamusa.org/2vyBVVp https://t.co/RoaWoTV06H",TeamUSA,http://go.teamusa.org/2vyBVVp,http://www.teamusa.org/News/2017/July/18/US-Womens-Field-Hockey-Team-Earns-World-League-Finals-World-Cup-Berths,https://t.co/RoaWoTV06H,https://twitter.com/TeamUSA/status/887397820054904832/photo/1
U.S. Olympic Team,1870897,2017-07-18 15:45:02 EDT,link,51,11,62,https://twitter.com/TeamUSA/status/887397820809883649,"After a major win against Japan, @USAFieldHockey secured their spot in the #HWL2017 finals AND 2018 Worlds! ?? ?? http://go.teamusa.org/2vyBVVp https://t.co/iUpuXdmxlT",TeamUSA,https://t.co/iUpuXdmxlT,https://twitter.com/TeamUSA/status/887397820809883649/photo/1,http://go.teamusa.org/2vyBVVp,http://www.teamusa.org/News/2017/July/18/US-Womens-Field-Hockey-Team-Earns-World-League-Finals-World-Cup-Berths
U.S. Olympic Team,1870897,2017-07-18 15:15:02 EDT,link,47,7,54,https://twitter.com/TeamUSA/status/887390270400086016,Meet the team! ?? @usafencing will send 24 athletes to the #WorldFencingChampionships! ?? Find out who! ?? http://go.teamusa.org/2uFj0vE https://t.co/9XZ08kHazD,TeamUSA,http://go.teamusa.org/2uFj0vE,http://www.teamusa.org/News/2017/July/18/Team-USA-Is-Sending-16-Olympians-With-11-Medals-To-The-World-Fencing-Championships-Meet-The-Team,https://t.co/9XZ08kHazD,https://twitter.com/TeamUSA/status/887390270400086016/photo/1
U.S. Olympic Team,1870897,2017-07-18 15:09:05 EDT,photo,68,19,87,https://twitter.com/TeamUSA/status/887388773998309376,.@dDins97 & @PalmerKrysta secure @USADiving's first medal of #FINABudapest2017 in the Mixed Team 3m/10m final! Way to go! ?? https://t.co/GJ8sYcjlXu,TeamUSA,https://t.co/GJ8sYcjlXu,https://twitter.com/TeamUSA/status/887388773998309376/photo/1,,
U.S. Olympic Team,1870897,2017-07-18 14:45:06 EDT,link,190,34,224,https://twitter.com/TeamUSA/status/887382738709368832,It’s a family thing! ?? @USAWP’s Kiley & Jamie Neushul take on #FINAWorlds together in hopes of ??! ?? http://go.teamusa.org/2u574jv https://t.co/4SPbQZPPzA,TeamUSA,https://t.co/4SPbQZPPzA,https://twitter.com/TeamUSA/status/887382738709368832/photo/1,http://go.teamusa.org/2u574jv,http://www.teamusa.org/News/2017/July/18/Kiley-Neushul-Is-On-Her-Way-To-More-Water-Polo-Gold-This-Time-With-Her-Sister-On-The-Team”
U.S. Olympic Team,1870897,2017-07-18 13:31:16 EDT,link,50,10,60,https://twitter.com/TeamUSA/status/887364157556891648,Stand out performances from #TeamUSA this past week go to….. Click here to find out! ?? http://go.teamusa.org/2tbZTVG https://t.co/BKq0BMXhuz,TeamUSA,https://t.co/BKq0BMXhuz,https://twitter.com/TeamUSA/status/887364157556891648/photo/1,http://go.teamusa.org/2tbZTVG,http://www.teamusa.org/News/2017/July/18/The-Week-In-Team-USA-Results-July-11-17
